0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245
3750,4761,5766,6713,7476,7799,7736,7299,6978,6577,6113,5779,5465,5283,5046,4911,4858,4795,4703,4700,4721,4715,4666,4682,4805,4830,4861,4946,4895,4942,5030,5062,5120,5092,5159,5212,5115,4848,4940,5002,5048,4957,4970,4956,5004,5137,5083,5079,4949,4983,4952,4922,4897,4818,4842,4903,4921,4936,5010,5060,5055,5102,5127,5165,5209,5155,5044,5096,5111,5180,5111,5143,5137,5070,5030,5028,5041,5057,5157,5191,5206,5099,5105,5165,5131,5158,5199,5220,5141,5140,5077,5047,4968,4946,4984,4975,4948,5064,5051,5063,5069,5057,5053,4989,4965,5082,5253,5349,5347,5421,5308,5188,5027,4943,4743,4875,4849,4880,4886,4842,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000,9219,8168,6811,5563,4562,4021,3780,3686,3631,3720,3847,4004,4145,4360,4475,4630,4710,4800,4899,4984,5060,5124,5177,5204,5226,5219,5141,5188,5169,5136,5084,5005,4964,4954,4861,4944,5072,5021,4964,4954,5023,4989,4978,4992,4900,4916,4902,4946,4948,4952,4971,5071,5137,5120,5076,5073,5099,5132,5074,5079,5051,5016,5017,4960,4937,4950,4959,4957,4921,4940,4925,4903,4935,4930,4987,5051,5016,4951,4944,4884,4907,4859,4822,4839,4855,4816,4787,4750,4798,4837,4883,4906,4913,4939,4946,5009,4990,4977,4951,4972,4983,4904,4994,5097,4997,4901,4821,4717,4664,4693,4715,4865,4948,5064,5024,5050,5050,5090,5137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3750,4624,5732,6997,7820,8183,7968,7358,6848,6348,5814,5429,5132,4862,4760,4778,4675,4701,4768,4800,4897,4918,4837,4845,4963,5053,5002,5029,5082,4999,5017,4998,5049,5043,5024,5015,5101,5183,5143,5089,4938,5028,4963,4937,4988,4831,4831,4836,4962,4999,5012,4960,4931,4961,4902,4970,4968,4832,4946,4862,4975,4967,4973,5055,5111,5095,5092,5069,4977,5025,5062,5019,5006,4888,4865,4824,4831,4915,4877,5090,5206,5169,5171,5083,5284,5073,4992,4923,4931,5046,5016,5046,5082,5115,5121,5059,4957,4922,5041,5014,5088,5088,5105,5185,5040,5011,5087,5147,5154,5182,5064,4998,5017,4951,4963,4938,4905,4849,4837,4813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000,9330,8221,6744,5255,4170,3643,3478,3490,3578,3828,4051,4302,4522,4628,4695,4905,4993,5041,5041,5038,4983,5094,5113,5054,5015,5013,5009,4972,5021,4977,5010,4991,4984,5008,4973,4867,4832,4804,4805,4881,4901,4951,4990,4989,5110,5153,5187,5128,5053,5005,5026,5058,4988,5060,5096,5057,5212,5147,5184,5150,5157,5202,5169,5090,5045,4983,4928,4961,4927,4913,4909,4881,4946,4994,5042,5053,5078,5142,5023,4902,4913,4882,4879,4678,4727,4789,4809,4868,4836,4920,4895,4861,4829,4821,4826,4891,4927,4968,4965,4955,5004,5000,4895,4918,4883,4841,4898,4833,4844,4901,4974,4971,5078,5012,5077,5178,5197,5186,5251,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3750,4555,5596,6645,7472,8112,7960,7435,6845,6257,5887,5668,5395,5236,5172,5065,5010,4932,4921,4791,4741,4780,4792,4842,4906,4931,4996,4951,4835,4884,4938,4915,4898,4956,5058,5032,5022,4971,4935,4954,4978,4927,4859,4987,5001,4993,5078,5017,5007,5113,5032,5059,5155,5183,5191,5188,5172,5205,5143,5135,5276,5165,5179,5036,4963,5018,4965,5003,4975,4850,4795,4719,4688,4755,4781,4834,4783,4811,4828,4972,5026,5113,5121,5199,5187,5090,5114,5176,5092,5087,5104,5060,5042,5000,5158,5079,5014,4907,4893,4796,4751,4798,4812,4870,4984,4983,5075,5075,5059,5072,5145,5211,5199,5095,4996,4934,4854,4947,4889,4968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000,9362,8376,7015,5596,4347,3747,3540,3553,3773,3956,4098,4232,4334,4461,4570,4669,4755,4791,4990,5042,5060,5110,5111,5097,5065,5018,5068,5233,5228,5218,5240,5216,5165,5068,5050,5045,5116,5060,5088,5110,5168,5173,5119,5039,5085,5022,5070,5042,5007,5072,5106,5007,4927,4877,4863,4824,4825,4870,4874,4739,4710,4698,4772,4836,4808,4903,4885,4932,5045,5018,5143,5262,5216,5224,5164,5200,5235,5207,5200,5188,5111,5093,4959,4928,4960,4954,4897,4908,4920,4893,4956,4916,4974,4876,4882,4890,4905,4941,4987,5079,5096,5062,5062,5026,5007,4969,4967,4941,4923,4863,4842,4834,4789,4875,4993,5071,5025,5040,5000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3750,4743,5659,6697,7568,7957,7825,7490,7119,6565,6141,5704,5371,5101,4949,4817,4733,4710,4745,4668,4624,4736,4804,4905,5047,5031,5000,5021,4967,5132,5041,4986,5047,4979,4975,5052,4925,5073,5125,5076,5192,5088,5047,5031,4845,4757,4704,4676,4691,4708,4710,4873,5025,4909,4846,4908,4937,5032,5097,4965,5104,5040,5000,5022,4993,4966,5028,5034,5145,5032,5074,5083,5103,4983,5157,5067,4889,4907,4729,4647,4663,4636,4687,4684,4785,4849,4961,5093,5134,5104,5147,5182,5253,5235,5145,5102,5013,4990,5034,5036,5093,5072,5126,5098,5102,5159,5169,5147,5146,5012,4975,5032,4926,4830,4904,4921,4894,4977,5106,4983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000,9261,8289,6907,5584,4512,3932,3638,3582,3638,3684,3843,4056,4317,4452,4616,4773,4894,4976,5061,5168,5104,5163,5145,5094,5072,5120,5032,5109,5001,4993,5021,5015,5055,5057,5051,5097,5007,4955,4974,4862,4882,4937,4988,5126,5202,5208,5302,5347,5395,5433,5350,5232,5267,5349,5318,5273,5185,5136,5127,5117,5156,5154,5125,5077,5071,5040,4984,4938,4984,4967,4917,4883,4997,4880,4893,5001,4958,5054,5140,5137,5254,5318,5410,5406,5331,5295,5245,5173,5165,5100,5010,4920,4855,4850,4964,4926,4967,4924,4919,4936,4970,4952,4963,4893,4905,4797,4787,4773,4915,4938,4904,4896,4972,4991,5026,4992,4999,4959,5048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3750,4707,5873,6988,7817,8047,7735,7460,6833,6309,5927,5551,5313,5027,4869,4860,4758,4743,4725,4764,4792,4861,4970,4963,4890,4949,4967,5002,5024,4968,4957,5057,5198,5257,5223,5241,5256,5192,5097,4959,4929,4986,4959,5100,5118,5091,5099,4992,5124,5174,5130,5206,5206,5186,5097,5081,4905,4964,4930,4903,4944,4946,4852,4885,4867,5008,4989,5037,5064,5036,4973,4988,5013,5000,5017,5004,5200,5219,5143,4990,5015,5037,4958,4992,5067,5088,5093,4958,4931,4955,4910,4853,4911,4889,4936,5068,5026,5145,5051,4952,4947,5041,4960,4972,4990,5094,5137,5116,5153,5096,5047,4999,5011,5060,5093,5155,5155,5079,5066,5081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000,9311,8081,6593,5247,4309,3820,3526,3580,3675,3769,3945,4103,4324,4531,4618,4723,4853,4967,4980,5007,5017,5001,5020,5059,5076,5050,5037,5050,5133,5133,5048,4926,4930,4898,4830,4833,4903,4866,4937,5005,4999,4975,4922,4937,4895,4922,5016,4914,4928,4965,4856,4906,4855,4830,4767,4864,4889,4911,4949,4996,5018,5079,5073,5137,5029,5093,5075,5062,5063,5051,5053,5031,5068,5038,5057,4956,4906,4905,4946,4929,4913,4981,4983,4957,4939,4919,4958,4992,5008,5062,5106,5118,5169,5138,5050,5099,5009,5051,5069,5131,4992,5015,4996,5047,5002,5013,4970,4895,4913,4954,4984,4992,4996,5012,4947,4929,4995,4997,5010,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
